FAO Monthly Food Price Index,,,,,,
2014-2016=100,,,,,,
Date,Food Price Index,Meat,Dairy,Cereals,Oils,Sugar
6-May,71,68,71.3,67.8,68.3,104.1
6-Jun,71.1,70.4,71,67.8,67.9,95.3
6-Jul,72.9,71.8,71.3,69.9,70.4,99.3
6-Aug,72.9,74.2,70.3,69.6,73.5,83.2
6-Sep,73,74.8,70.3,72.5,71.7,74.8
6-Oct,74.9,73.6,71.9,79.9,72.7,72
6-Nov,77.5,72.1,75.4,85.3,78.3,72.9
6-Dec,78.6,70.6,81.7,85.4,83,71.6
7-Jan,78.1,69.6,84.2,85.1,82.2,67.8
7-Feb,79.6,70.9,88.3,87,82.8,65.4
7-Mar,80.8,72.9,91.8,86.4,84.4,64.6
7-Apr,83.5,74.8,102,85.1,92.7,60.2
7-May,86.2,76.6,105.3,86.6,100.2,58.4
7-Jun,91.1,78,121,91.9,104.9,57.5
7-Jul,95.3,79.2,135,94.9,108.5,62.9
7-Aug,98.9,79.4,141.5,102.1,112.8,60.7
7-Sep,105,80.5,145.1,117.2,118.2,60.4
7-Oct,107.6,79.2,148,121.3,125.8,61.9
7-Nov,110.4,80.2,154,121,136.2,62.5
7-Dec,114.4,81,152.6,132.2,138.5,66.3
8-Jan,120,81.6,150.6,141,154,74.1
8-Feb,128,79.5,149.9,160.8,168.5,83.6
8-Mar,132.1,84.7,152.6,163.3,176.5,81.7
8-Apr,130.4,86.2,148.9,162.7,169.3,77.7
8-May,130,91,144.3,157.4,171.9,74.7
8-Jun,132.5,93,143.9,160.3,178.2,75
8-Jul,130.1,100.1,144.1,148.2,164.7,88.1
8-Aug,121.1,101.8,133.5,136.5,135.5,90.4
8-Sep,112.8,100.9,120.5,125.3,120.5,83.7
8-Oct,97.6,95,107,104.9,92.2,73.6
8-Nov,89.5,87.4,97.8,96,82,74.9
8-Dec,86,80.8,94.9,95.1,78.5,72.7
9-Jan,86.4,77.3,88.2,100.4,82.7,77.4
9-Feb,84.2,75,82.6,97.2,82.2,81.9
9-Mar,84,75.4,80.9,97.2,81.5,82.9
9-Apr,87.2,77.9,80.4,98.1,93.8,84.5
9-May,93.3,80.9,83.5,103.3,106.6,99.4
9-Jun,93.3,83.1,84.7,103,100.7,101.7
9-Jul,90.7,85.2,85.1,94.5,89.9,114
9-Aug,93.5,85.3,88,91.9,97.8,138.8
9-Sep,93,84.3,95.1,89.8,93.2,142.6
9-Oct,94.8,82.5,102.7,93.8,95.1,140.1
9-Nov,98.8,83.7,113.1,98,101.7,137.8
9-Dec,100.7,83.9,112.8,99,107.5,145.6
10-Jan,101.5,85,109,98.4,107.1,163.8
10-Feb,99,85.7,101.6,94,107.3,157.4
10-Mar,96.3,86.9,101.6,91.8,110.3,115.5
10-Apr,96.8,89.5,109.7,90.7,109.3,101.8
10-May,96.3,89.8,111.8,90.6,107.1,94.1
10-Jun,95.7,90.8,110.4,87.8,106,98.1
10-Jul,100,91.8,112.8,95.3,110.1,107.9
10-Aug,107.7,92.6,112.3,112.9,121.8,114.6
