TIME	GEO	UNIT	INDX	COICOP	Value	Flag and Footnotes		
2005M08	France	Index	 2015=100	Agricultural commodity price index	Wine from grapes	63.7	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Beer	66.1	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Food	75.7	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Bread and cereals	64.9	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Bread	61.3	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Meat	85.5	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Beef and veal	83.7	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Pork	99.8	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Lamb and goat	76	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Poultry	75.8	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Fish and seafood	:		
2005M09	France	Index	 2015=100	Agricultural commodity price index	Milk	 cheese and eggs	94	e
2005M09	France	Index	 2015=100	Agricultural commodity price index	Fresh whole milk 	96.6	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Yoghurt	96.6	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Cheese and curd	96.6	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Eggs	72.1	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Oils and fats	59.7	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Butter	97.6	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Olive oil	:		
2005M09	France	Index	 2015=100	Agricultural commodity price index	Other edible oils	59.7	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Fruit	67.9	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Vegetables	82.6	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Potatoes	63.3	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Sugar	117	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Coffee	 tea and cocoa	:	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Fruit and vegetables juices 	66.7	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Wine from grapes	63	e	
2005M09	France	Index	 2015=100	Agricultural commodity price index	Beer	66.8	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Food	75.8	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Bread and cereals	64.6	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Bread	60.9	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Meat	84.6	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Beef and veal	83.1	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Pork	96.4	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Lamb and goat	78.8	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Poultry	75.6	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Fish and seafood	:		
2005M10	France	Index	 2015=100	Agricultural commodity price index	Milk	 cheese and eggs	93.7	e
2005M10	France	Index	 2015=100	Agricultural commodity price index	Fresh whole milk 	95.6	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Yoghurt	95.6	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Cheese and curd	95.6	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Eggs	78.3	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Oils and fats	60.4	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Butter	96.2	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Olive oil	:		
2005M10	France	Index	 2015=100	Agricultural commodity price index	Other edible oils	60.4	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Fruit	70.7	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Vegetables	77.4	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Potatoes	69.8	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Sugar	119.4	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Coffee	 tea and cocoa	:	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Fruit and vegetables juices 	69	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Wine from grapes	62.7	e	
2005M10	France	Index	 2015=100	Agricultural commodity price index	Beer	64.7	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Food	76.2	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Bread and cereals	64.2	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Bread	60.5	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Meat	84.6	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Beef and veal	83.4	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Pork	95	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Lamb and goat	80.6	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Poultry	75.5	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Fish and seafood	:		
2005M11	France	Index	 2015=100	Agricultural commodity price index	Milk	 cheese and eggs	92.9	e
2005M11	France	Index	 2015=100	Agricultural commodity price index	Fresh whole milk 	94.4	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Yoghurt	94.4	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Cheese and curd	94.4	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Eggs	81	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Oils and fats	60.3	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Butter	94.8	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Olive oil	:		
2005M11	France	Index	 2015=100	Agricultural commodity price index	Other edible oils	60.3	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Fruit	73.1	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Vegetables	77.7	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Potatoes	74.8	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Sugar	120.9	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Coffee	 tea and cocoa	:	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Fruit and vegetables juices 	71	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Wine from grapes	63.2	e	
2005M11	France	Index	 2015=100	Agricultural commodity price index	Beer	63.4	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Food	76.8	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Bread and cereals	63.8	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Bread	60.1	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Meat	85.5	e	
